ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/17mA
DivSlit	1/2deg.
DivH.L.Slit	10mm
SctSlit	1/2deg.
RecSlit	0.45mm
Monochro RS	0.8mm
Start	10
Stop	80
Step	0.05

10	28
10.05	25
10.1	27
10.15	22
10.2	18
10.25	22
10.3	17
10.35	18
10.4	20
10.45	22
10.5	17
10.55	20
10.6	16
10.65	18
10.7	11
10.75	16
10.8	30
10.85	20
10.9	23
10.95	15
11	23
11.05	16
11.1	28
11.15	20
11.2	17
11.25	11
11.3	22
11.35	14
11.4	20
11.45	16
11.5	24
11.55	17
11.6	17
11.65	17
11.7	14
11.75	29
11.8	21
11.85	15
11.9	14
11.95	16
12	16
12.05	18
12.1	22
12.15	20
12.2	14
12.25	18
12.3	13
12.35	12
12.4	15
12.45	16
12.5	25
12.55	20
12.6	18
12.65	20
12.7	12
12.75	14
12.8	16
12.85	23
12.9	9
12.95	24
13	17
13.05	21
13.1	14
13.15	18
13.2	17
13.25	15
13.3	18
13.35	17
13.4	19
13.45	16
13.5	18
13.55	10
13.6	14
13.65	17
13.7	18
13.75	18
13.8	13
13.85	20
13.9	12
13.95	13
14	13
14.05	15
14.1	17
14.15	21
14.2	14
14.25	10
14.3	12
14.35	12
14.4	21
14.45	13
14.5	14
14.55	13
14.6	16
14.65	17
14.7	20
14.75	22
14.8	15
14.85	8
14.9	13
14.95	15
15	19
15.05	16
15.1	14
15.15	17
15.2	15
15.25	20
15.3	15
15.35	18
15.4	16
15.45	10
15.5	17
15.55	19
15.6	20
15.65	19
15.7	23
15.75	19
15.8	9
15.85	15
15.9	17
15.95	17
16	19
16.05	18
16.1	9
16.15	25
16.2	25
16.25	18
16.3	16
16.35	11
16.4	14
16.45	20
16.5	12
16.55	17
16.6	17
16.65	20
16.7	15
16.75	15
16.8	19
16.85	20
16.9	23
16.95	12
17	15
17.05	16
17.1	19
17.15	11
17.2	17
17.25	15
17.3	20
17.35	18
17.4	14
17.45	10
17.5	31
17.55	13
17.6	23
17.65	24
17.7	13
17.75	23
17.8	20
17.85	19
17.9	28
17.95	21
18	24
18.05	22
18.1	21
18.15	29
18.2	16
18.25	19
18.3	28
18.35	19
18.4	25
18.45	33
18.5	23
18.55	20
18.6	28
18.65	32
18.7	16
18.75	15
18.8	21
18.85	16
18.9	27
18.95	16
19	21
19.05	22
19.1	23
19.15	17
19.2	22
19.25	27
19.3	29
19.35	29
19.4	24
19.45	32
19.5	23
19.55	30
19.6	19
19.65	20
19.7	23
19.75	25
19.8	31
19.85	33
19.9	30
19.95	17
20	23
20.05	33
20.1	24
20.15	27
20.2	27
20.25	28
20.3	25
20.35	26
20.4	30
20.45	28
20.5	30
20.55	25
20.6	26
20.65	24
20.7	43
20.75	37
20.8	26
20.85	20
20.9	35
20.95	27
21	39
21.05	27
21.1	27
21.15	28
21.2	36
21.25	35
21.3	34
21.35	20
21.4	30
21.45	31
21.5	33
21.55	39
21.6	34
21.65	21
21.7	28
21.75	32
21.8	26
21.85	33
21.9	31
21.95	37
22	34
22.05	35
22.1	42
22.15	27
22.2	37
22.25	25
22.3	28
22.35	31
22.4	46
22.45	24
22.5	32
22.55	39
22.6	28
22.65	39
22.7	42
22.75	33
22.8	38
22.85	31
22.9	37
22.95	45
23	32
23.05	35
23.1	32
23.15	35
23.2	34
23.25	46
23.3	33
23.35	34
23.4	36
23.45	35
23.5	44
23.55	32
23.6	41
23.65	40
23.7	31
23.75	33
23.8	40
23.85	42
23.9	28
23.95	39
24	25
24.05	39
24.1	31
24.15	45
24.2	46
24.25	44
24.3	51
24.35	40
24.4	40
24.45	38
24.5	36
24.55	42
24.6	47
24.65	33
24.7	46
24.75	42
24.8	33
24.85	43
24.9	31
24.95	34
25	38
25.05	42
25.1	37
25.15	39
25.2	31
25.25	36
25.3	31
25.35	43
25.4	34
25.45	58
25.5	36
25.55	40
25.6	47
25.65	33
25.7	44
25.75	41
25.8	48
25.85	49
25.9	56
25.95	33
26	50
26.05	47
26.1	52
26.15	53
26.2	49
26.25	87
26.3	106
26.35	116
26.4	182
26.45	243
26.5	283
26.55	262
26.6	160
26.65	121
26.7	88
26.75	76
26.8	66
26.85	62
26.9	52
26.95	57
27	58
27.05	52
27.1	48
27.15	50
27.2	43
27.25	37
27.3	44
27.35	46
27.4	40
27.45	45
27.5	27
27.55	46
27.6	41
27.65	65
27.7	51
27.75	46
27.8	35
27.85	28
27.9	37
27.95	38
28	30
28.05	53
28.1	48
28.15	40
28.2	44
28.25	37
28.3	32
28.35	39
28.4	42
28.45	39
28.5	42
28.55	49
28.6	44
28.65	45
28.7	49
28.75	38
28.8	41
28.85	38
28.9	33
28.95	38
29	23
29.05	33
29.1	46
29.15	50
29.2	58
29.25	47
29.3	53
29.35	51
29.4	46
29.45	44
29.5	43
29.55	51
29.6	50
29.65	42
29.7	61
29.75	57
29.8	53
29.85	76
29.9	70
29.95	67
30	81
30.05	62
30.1	52
30.15	49
30.2	62
30.25	50
30.3	41
30.35	53
30.4	40
30.45	45
30.5	54
30.55	45
30.6	41
30.65	28
30.7	41
30.75	29
30.8	36
30.85	40
30.9	39
30.95	38
31	41
31.05	35
31.1	41
31.15	31
31.2	42
31.25	38
31.3	46
31.35	48
31.4	29
31.45	37
31.5	30
31.55	40
31.6	38
31.65	39
31.7	42
31.75	30
31.8	42
31.85	37
31.9	52
31.95	32
32	37
32.05	31
32.1	41
32.15	36
32.2	39
32.25	42
32.3	41
32.35	40
32.4	38
32.45	40
32.5	35
32.55	34
32.6	34
32.65	35
32.7	34
32.75	56
32.8	39
32.85	39
32.9	35
32.95	28
33	34
33.05	38
33.1	35
33.15	31
33.2	42
33.25	32
33.3	42
33.35	36
33.4	53
33.45	54
33.5	64
33.55	70
33.6	99
33.65	151
33.7	156
33.75	152
33.8	122
33.85	76
33.9	66
33.95	77
34	37
34.05	38
34.1	40
34.15	42
34.2	35
34.25	49
34.3	41
34.35	28
34.4	41
34.45	32
34.5	34
34.55	43
34.6	34
34.65	37
34.7	45
34.75	41
34.8	46
34.85	47
34.9	40
34.95	52
35	52
35.05	55
35.1	64
35.15	72
35.2	79
35.25	68
35.3	64
35.35	72
35.4	51
35.45	62
35.5	58
35.55	44
35.6	51
35.65	52
35.7	44
35.75	31
35.8	29
35.85	34
35.9	33
35.95	34
36	19
36.05	29
36.1	39
36.15	26
36.2	23
36.25	33
36.3	33
36.35	26
36.4	36
36.45	28
36.5	30
36.55	26
36.6	21
36.65	28
36.7	25
36.75	33
36.8	32
36.85	31
36.9	28
36.95	26
37	32
37.05	33
37.1	30
37.15	36
37.2	29
37.25	26
37.3	31
37.35	42
37.4	52
37.45	37
37.5	61
37.55	68
37.6	110
37.65	167
37.7	214
37.75	279
37.8	199
37.85	173
37.9	129
37.95	79
38	57
38.05	62
38.1	46
38.15	32
38.2	21
38.25	23
38.3	32
38.35	25
38.4	35
38.45	31
38.5	32
38.55	18
38.6	17
38.65	23
38.7	26
38.75	23
38.8	22
38.85	26
38.9	20
38.95	24
39	24
39.05	16
39.1	20
39.15	19
39.2	23
39.25	23
39.3	23
39.35	17
39.4	16
39.45	23
39.5	21
39.55	25
39.6	27
39.65	27
39.7	31
39.75	24
39.8	24
39.85	21
39.9	18
39.95	25
40	24
40.05	32
40.1	19
40.15	18
40.2	19
40.25	22
40.3	21
40.35	21
40.4	19
40.45	22
40.5	32
40.55	16
40.6	28
40.65	22
40.7	27
40.75	28
40.8	19
40.85	26
40.9	11
40.95	17
41	20
41.05	28
41.1	13
41.15	29
41.2	26
41.25	10
41.3	19
41.35	30
41.4	27
41.45	26
41.5	25
41.55	18
41.6	21
41.65	15
41.7	29
41.75	24
41.8	14
41.85	21
41.9	23
41.95	21
42	23
42.05	24
42.1	29
42.15	26
